LTR,CANVAS ID,DEPT,COURSE,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
HT,101362,CHEM,CHEM 427 199 2022W1,CHEM 427 199 2022W1 Applications of Materials Chemistry,"HUDSON, ZACHARY",20,In-Person,Active,TBA,,NONE,In-Person,,12/16/2022,08:30,In-Person,In-Person,
HT,101365,CHEM,CHEM 448A 100 2022W1,CHEM 448A 100 2022W1 Directed Studies in Chemistry - T1 DST CHEMISTRY,TBA,0,In-Person,Active,N/A,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101368,CHEM,CHEM 498 610 2022W1,CHEM 498 610 2022W1 Co-operative Work Placement III,TBA,8,In-Person,Active,N/A,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101369,CHEM,CHEM 499 610 2022W1,CHEM 499 610 2022W1 Co-operative Work Placement IV,TBA,7,In-Person,Active,N/A,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101374,CHEM,CHEM 540C ODG 2022W1,CHEM 540C ODG 2022W1 Seminar in Chemistry - INORGANIC SEMINR,TBA,50,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101375,CHEM,CHEM 549 101 2022W1,CHEM 549 101 2022W1 M.Sc. Thesis,"HUDSON, ZACHARY",22,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101525,COGS,COGS 200 004 2022W1,COGS 200 004 2022W1 Introduction to Cognitive Systems,"CONATI, CHRSTINA",181,In-Person,Active,10/18/2022,TBA,NONE,In-Person,,12/20/2022,15:30,In-Person,In-Person,
,,,,,"KNAFELC, SPENCER",,,,,,,,,,,,,
,,,,,"KRYKLYWY, JAMES",,,,,,,,,,,,,
HT,101528,COGS,COGS 303 002 2022W1,COGS 300 002 2022W1 Research Methods in Cognitive Systems,"SOSKUTHY, MARTON",71,In-Person,Active,NO MT,,,,,12/19/2022,08:30,In-Person,In-Person,
HT,101527,COGS,COGS 303 001 2022W1,COGS 303 001 2022W1 Research Methods in Cognitive Systems,"SUNDARES, DANIEL",40,In-Person,Active,NO MT,,,,,12/14/2022,08:30,In-Person,In-Person,
HT,101530,COGS,COGS 402 001 2022W1,COGS 402 001 2022W1 Research in Cognitive Systems,"MOLE, CHRISTOPHER",16,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101855,CPSC,CPSC 103 101/102 2022W1,CPSC 103 101/102 2022W1 Introduction to Systematic Program Design,"TOTI, GIULIA",271,In-Person,Active,10/27/2022,7:00 PM,NONE,In-Person,,12/19/2022,15:30,In-Person,In-Person,
HT,101865,CPSC,CPSC 210 102 2022W1,CPSC 210 102 2022W1 Software Construction,"GRUND, FELIX",253,In-Person,Active,,,,,,12/19/2022,15:30,In-Person,In-Person,
,,,,,"WOLFMAN, STEVEN",,,,,,,,,,,,,
