LTR,CANVAS ID,,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
KL,111782,EOSC,EOSC 315 99C 2022W2 The Ocean Ecosystem,"LIPSEN, MICHAEL",101,Hybrid,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,In-Person,In-Person,
KL,107043,EOSC,EOSC 320 201 2022W2 Sedimentology,"BUSTIN, ROBERT MARC",31,In-Person,Active,2/28/2023,10:00 - 11:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,107044,EOSC,EOSC 322 201 2022W2 Metamorphic Petrology,"PEACOCK, SIMON",21,In-Person,Active,2/7/2023,11:00 - 12:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,,,,,3/16/2023,11:00 - 12:00,,,,,,,,
KL,111783,EOSC,EOSC 326 99C 2022WC Earth and Life Through Time,"LONGRIDGE, LOUISE",113,Hybrid,Active,2/2/2023 - 2/5/2023,12:00 - 23:00,Canvas Classic Quiz,NA,,TBA,TBA,In-Person,In-Person,
,,,,,,,,2/16/2023 - 2/19/2023,12:00 - 23:00,,,,,,,,
KL,107045,EOSC,EOSC 328 201 2022W2 Field Geology,"GILLEY, BRETT",24,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,"SAYLOR, JOEL EDWARD",,,,,,,,,,,,,
,,,,"SMIT, MATTHIJS",,,,,,,,,,,,,
KL,107046,EOSC,EOSC 332 201 2022W2 Tectonic Evolution of North America,"SMIT, MATTHIJS",39,In-Person,Active,2/15/2023,10:00 - 11:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,107047,EOSC,EOSC 333 201 2022W2 Elemental and Isotopic Geochemistry,"CHRITZ, KENDRA",23,In-Person,Active,2/27/2023,9:00 - 10:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"MOERHUIS, NICHOLE",,,,,,,,,,,,,
KL,107048,EOSC,EOSC 340 201 2022W2 Global Climate Change,"AUSTIN, PHILIP",103,In-Person,Active,2/16/2023,11:00 - 12:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"ORSI, ANAIS",,,,3/30/2023,11:00 - 12:00,,,,,,,,
KL,112755,EOSC,EOSC 353 201 2022W2 Seismology,"BOSTOCK, MICHAEL",11,In-Person,Active,TBA*,11:00 - 12:00,In-Person,In-Person,*1 TBA MT in early March,TBA,TBA,In-Person,In-Person,
KL,107050,EOSC,EOSC 373 201 2022W2 Introductory Oceanography: Climate and Ecosystems,"MALDONADO-PAREJA, MARIA",57,In-Person,Active,2/1/2023,10:00 - 11:00,Canvas Classic Quiz,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"ORIANS, KRISTIN",,,,3/1/2023,10:00 - 11:00,,,,,,,,
,,,,"PAWLOWICZ, RICHARD",,,,3/24/2023,10:00 - 11:00,,,,,,,,
KL,107055,EOSC,EOSC 429 201 2022W2 Groundwater Contamination,"BECKIE, ROGER",63,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,In-Person,In-Person,
KL,107056,EOSC,EOSC 432 201 2022W2 Fossil Fuels,"BUSTIN, ROBERT MARC",7,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,In-Person,In-Person,
KL,107057,EOSC,EOSC 434/534 201 2022W2 Geological Engineering Practice II - Soil Engineering,"MCDOUGALL, SCOTT",36,In-Person,Active,2/16/2023,13:00 - 15:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,,,,,3/23/2023,13:00 - 15:00,,,,,,,,
KL,107059,EOSC,EOSC 472 201 2022W2 Chemical Oceanography and Marine Geochemistry,"ORIANS, KRISTIN",25,In-Person,Active,3/1/2023,12:00 - 13:00,In-Person,In-Person,"3/1/2023 - Individual MT,",TBA,TBA,In-Person,In-Person,
,,,,,,,,3/3/2023,12:00 - 13:00,,,3/3/2023 - Group MT,,,,,
